노선번호,노선,정류장순서,정류장,정류장 번호,정류장명,경도,위도,이전정류장과_노선거리_m,구간이동시간_초,누적노선거리_m,누적예상시간_초
1,250000100,1,265000793,2227,상공회의소,127.75267,37.89832,0.0,0.0,0.0,0.0
1,250000100,2,250026779,2506,장학해온채A,127.75391,37.89731,214.1,29.6,214.1,29.6
1,250000100,3,250026778,2505,장학교차로,127.75555,37.89383,443.1,61.4,657.2,91.0
1,250000100,4,250026830,2557,장학부영A,127.75278,37.89642,756.4,104.7,1413.6,195.7
1,250000100,5,250001211,1020,후평동종점,127.74865,37.89326,714.8,99.0,2128.4,294.7
1,250000100,6,250001377,1376,춘천기계공고,127.74898,37.89114,237.5,32.9,2365.9,327.6
1,250000100,7,250001873,1771,정부합동청사,127.74931,37.88887,260.4,36.1,2626.3,363.6
1,250000100,8,250001505,1826,동광오거리,127.74955,37.88523,447.2,61.9,3073.5,425.6
1,250000100,9,250001277,1086,한국전력공사입구,127.74871,37.88346,210.2,29.1,3283.6,454.7
1,250000100,10,250001295,1104,포스코더샵A,127.7486,37.8815,232.0,32.1,3515.6,486.8
1,250000100,11,250001786,1517,충인교회,127.75001,37.87954,258.2,35.8,3773.8,522.5
1,250000100,12,250001853,1751,일성트루엘A,127.74822,37.87735,418.6,58.0,4192.4,580.5
1,250000100,13,250002238,2215,푸른언덕공원,127.74556,37.87622,265.9,36.8,4458.3,617.3
1,250000100,14,250001750,1483,강원대학병원,127.74295,37.87474,292.7,40.5,4751.0,657.8
1,250000100,15,250001678,1997,춘천청소년수련관,127.74109,37.87438,263.9,36.5,5014.9,694.4
1,250000100,16,250001230,1039,중부지구대,127.73797,37.87579,315.6,43.7,5330.5,738.1
1,250000100,17,250001545,1865,동부시장,127.73429,37.87658,346.8,48.0,5677.3,786.1
1,250000100,18,250001914,1561,육림고개,127.7308,37.87719,379.9,52.6,6057.2,838.7
1,250000100,19,250002077,2054,시청입구,127.72874,37.87957,320.6,44.4,6377.8,883.1
1,250000100,20,250002029,1671,명동입구,127.7267,37.87969,264.5,36.6,6642.3,919.7
1,250000100,21,250001848,1746,중앙시장/중앙초교,127.72505,37.87834,208.7,28.9,6851.0,948.6
1,250000100,22,250001202,1011,중앙로입구,127.72307,37.87703,234.7,32.5,7085.7,981.1
1,250000100,23,250001349,1156,춘천시보건소,127.72076,37.87617,231.6,32.1,7317.3,1013.2
1,250000100,24,250001353,1160,춘천중학교,127.7177,37.87521,303.7,42.1,7621.0,1055.2
1,250000100,25,250001350,1157,엘타워/미소지움,127.71702,37.87405,329.7,45.7,7950.7,1100.9
1,250000100,26,250001986,1631,미소지움/방송대,127.72015,37.87331,286.8,39.7,8237.5,1140.6
1,250000100,27,250002027,1669,약사롯데캐슬,127.72313,37.8721,302.4,41.9,8539.8,1182.4
1,250000100,28,250001626,1946,남부시장,127.726,37.87062,302.9,41.9,8842.8,1224.4
1,250000100,29,250026603,2335,수협,127.72789,37.86971,203.2,28.1,9045.9,1252.5
1,250000100,30,250002023,1665,양우A,127.7305,37.86833,283.2,39.2,9329.1,1291.7
1,250000100,31,250002239,2216,춘천지방법원,127.73416,37.86611,412.4,57.1,9741.5,1348.8
1,250000100,32,250001751,1484,춘천사회혁신센터,127.7363,37.86417,291.2,40.3,10032.7,1389.1
1,250000100,33,250002136,2113,석사A,127.73912,37.86279,290.9,40.3,10323.6,1429.4
1,250000100,34,250002148,2125,석사4거리,127.74329,37.86117,409.0,56.6,10732.5,1486.0
1,250000100,35,250002147,2124,석사교회,127.7446,37.85989,194.2,26.9,10926.8,1512.9
1,250000100,36,250001386,1384,교육대학교,127.7471,37.85718,372.6,51.6,11299.3,1564.5
1,250000100,37,250002016,1659,여성가족연구원,127.74868,37.85579,207.8,28.8,11507.2,1593.3
1,250000100,38,250002138,2115,석사삼익A,127.75114,37.8531,379.1,52.5,11886.2,1645.8
1,250000100,39,250002145,2122,석사극동A,127.75271,37.85105,273.2,37.8,12159.5,1683.6
1,250000100,40,250001273,1082,장애인종합복지관,127.75585,37.84689,558.6,77.3,12718.1,1761.0
1,250000100,41,265000868,2411,학곡지구입구,127.75874,37.84248,580.7,80.4,13298.8,1841.4
1,250000100,42,250001354,1161,학곡2리,127.7588,37.83985,292.7,40.5,13591.5,1881.9
1,250000100,43,250001282,1091,학곡리종점,127.76038,37.83495,572.5,79.3,14164.0,1961.2
